(2297.2841874224027, '秦淮河')
(681.8556183067634, '南京')
(375.1588633013284, '美龄宫')
(357.84288886920524, '夫子庙')
(318.796458951961, '夜游')
(308.602438716005, '瞻园')
(117.46051576092042, '金陵')
(115.51301918916488, '百景')
(113.03136373621385, '灯影')
(104.02872722473163, '断桥')
(85.56404056344972, '真的')
(78.32620956472735, '江南')
(74.98142605557541, '中山陵')
(74.4761308564925, '夜景')
(72.4449586992919, '打卡')
(70.36418069755457, '秦淮')
(67.0533961465707, '桨声')
(60.43010455549038, '水位')
(60.17130557340918, '明孝陵')
(56.87689310817757, '王巍')
(47.64809721186668, '视频')
(44.72419043701091, '喜欢')
(44.25843720858334, '老门东')
(41.916937860021505, '十里')
(41.779503722155376, '分享')
(40.355715926649275, '绿洲')
(39.439074483938576, '摄影')
(37.80746834591648, '玄武湖')
(36.57495350114503, '泊秦淮')
(34.3564013628277, '晚上')
(33.76427562863711, '晚风')
(33.39273334186613, '历史')
(30.47024758504366, '项链')
(30.059113112842688, '总统府')
(29.694760185476817, '乌衣巷')
(28.840958215626866, '第一')
(28.481523623564154, '宋美龄')
(28.121596186254077, '鸡鸣寺')
(27.846820900287582, '中国')
(27.589648527823222, '长江')
(26.2532980864921, '终于')
(26.063820919412528, '梧桐')
(25.720767766681536, '微博')
(25.61140949180454, '餐厅')
(25.331935248941587, '感受')
(24.81332071772023, '浪漫')
(24.138780839753245, '江苏')
(23.518131149491595, '女人')
(23.40438452561333, '城市')
(23.174701940660725, '最美')
(22.838230197612447, '探险')
(22.644908598806637, '音乐台')
(22.603249463604747, '美丽')
(22.346415930572224, '好看')
(22.16197094805944, '夜晚')
(21.157454923575692, '腊梅')
(21.1504098051977, '地方')
(20.24524854352486, '酒家')
(20.219789715791368, '风光')
(20.003333124025936, '宝箱')
(19.97742671743445, '梧桐树')
(19.852966900491527, '钟山')
(19.279230485872304, '六朝金粉')
(19.188951219088203, '故事')
(18.49621437844694, '夜色')
(18.050804359892737, '六朝')
(17.890016292310005, '古都')
(17.878919699770083, '第一次')
(17.567416606351845, '画舫')
(17.155923451374484, '南京城')
(17.15204623464171, '烟雨')
(16.213283664343358, '中午')
(16.168042112747592, '蒋介石')
(16.14869064925356, '防汛')
(15.788090230920123, '一张')
(15.663909762831905, '博物馆')
(15.486895747351383, '风景')
(15.216345882290153, '生活')
(15.159900954897626, '大堤')
(14.834494148032919, '双桥')
(14.716788801252449, '枫叶')
(14.655648308423014, '游船')
(14.48135730546467, '钥匙')
(14.358182145307989, '攻略')
(14.26255914557917, '2020')
(14.17004561473484, '剧情')
(14.11749611642171, '秋天')
(13.94293846879204, '快乐')
(13.678501549560714, '景区')
(13.672923527623977, '新闻')
(13.634039973342889, '灵谷')
(13.60027438815548, '发现')
(13.561342073570115, '博文')
(13.507345281895468, '时间')
(13.452046750416525, '寒水')
(13.434379202876826, '风景区')
(13.307645294986578, '夏天')
(13.252744663706531, '大坝')
(13.176206184145203, '散步')
(13.071595219702791, '今晚')
(13.046819087429643, '位置')
(12.87382209023991, '两岸')
(12.761293309776015, '明城墙')
(12.646397865499795, '每日')
(12.620657522480924, '文化')
(12.599957580149617, '春天')
(12.478906821925815, '映像')
(12.450131772913076, '一座')
(12.445317514910373, '希望')
(12.390438920385105, '依旧')
(12.375475345753225, '好吃')
(12.330404120445719, '爱情')
(12.244918263611721, '浆声')
(12.122063335867429, '好像')
(12.04056655645301, '明天')
(11.972079249772944, '违建')
(11.901231396287518, '花魁')
(11.806536757079177, '元宵')
(11.741834980682627, '苏州')
(11.738623052719172, '旅行')
(11.54602256541742, '旅游')
(11.494973015373786, '照片')
(11.479000822455532, '河水')
(11.467766323632228, '租房')
(11.363654560977741, '直播')
(11.325923957716437, '黄浦江')
(11.259677506047735, '园里')
(11.243154336200904, '不到')
(11.240778081589763, '傍晚')
(11.217811789539878, '之恋')
(11.20911341733765, '下次')
(11.05184864393137, '美景')
(11.042765921745003, '夜泊')
(11.008045568175065, '灯会')
(10.918556629321719, '开心')
(10.907747757247103, '紫金山')
(10.733034271042374, '酒店')
(10.729841153626515, '南京市')
(10.581969411483366, '园林')
(10.565186310185702, '冬日')
(10.558953071586929, '笼沙夜')
(10.531436128595384, '梅花')
(10.501803830409457, '一圈')
(10.494658043293967, '南京博物院')
(10.488648878961614, '书店')
(10.352978594747357, '一条')
(10.327024696435815, '景点')
(10.279562495888378, '文章')
(10.199307330511292, '百步')
(10.166125735223424, '朋友')
(10.090510223308472, '想念')
(10.034788423679903, '城墙')
(10.016332901724736, '下雨')
(9.979067858133774, '先锋')
(9.930466951326439, '世界')
(9.911626210201783, '昨天')
(9.910602512571609, '香橼')
(9.868286809422917, '情怀')
(9.840282390954954, '蜡梅')
(9.831214545768361, '头条')
(9.82079168789767, '别墅')
(9.789359230254371, '公园')
(9.757522994585228, '粉丝汤')
(9.740027341719676, '秋色')
(9.58369729782979, '找到')
(9.566128177259328, '听说')
(9.565776849080232, '想起')
(9.517593557989708, '一篇')
(9.43376276837137, '商女')
(9.378413021923445, '朱自清')
(9.327246877169337, '名胜')
(9.24241166378548, '往事')
(9.2009142655023, '陈年')
(9.194612053485015, '月亮')
(9.175614202327685, '民国')
(9.161894047484028, '樱花')
(9.146503924480209, '贡院')
(9.108561897168789, '生生世世')
(9.00496339343806, '不错')
(8.952018523093246, '太美')
(8.931515583297234, '夕阳')
(8.904219299064192, '游客')
(8.894263841224593, '风光带')
(8.845770942234747, '坐船')
(8.813076014941432, '有人')
(8.796095842847711, '边上')
(8.79312716560331, '雨中')
